,unlist_train_test_abstract_unique,concat_Lens ID_Train,Lens ID_Train,Count_Train,concat_Lens ID_Test,Lens ID_Test,Count_Test
30,chang,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
31,time,0078-470-148-980-604,078-470-148-980-604,2.0,0097-421-372-053-520,097-421-372-053-520,0.0
32,evolv,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
33,complex,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,1.0
34,analysi,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
35,concern,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
36,inner,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
37,structur,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,1.0
38,evolut,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,1.0
39,implement,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
40,better,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
41,understand,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
42,produc,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
43,navig,0078-470-148-980-604,078-470-148-980-604,1.0,0097-421-372-053-520,097-421-372-053-520,0.0
44,discuss,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
45,problem,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
46,encount,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
47,hypermedia,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,4.0
48,reus,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
49,conceptu,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
50,framework,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
51,resolv,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
52,suggest,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
53,made,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
54,extra,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
55,organiz,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
56,necessari,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
57,share,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
58,support,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
59,interact,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
60,abstract,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
61,schema,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
62,key,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
63,captur,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
64,dynam,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
65,natur,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
66,integr,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
67,workflow,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
68,recommend,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
69,open,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
70,teamwork,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
71,whole,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
72,environ,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,2.0
73,divid,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
74,compon,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
75,respect,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
76,dexter,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
77,hypertext,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
78,refer,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
79,model,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
80,separ,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
81,reduc,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
82,overal,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
83,conform,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
84,close,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
85,human,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
86,cognit,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
87,acitivit,0078-470-148-980-604,078-470-148-980-604,0.0,0097-421-372-053-520,097-421-372-053-520,1.0
88,gener,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
89,linguist,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
90,specif,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
91,semant,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
92,problem,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
93,aris,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
94,multilingu,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
95,thesauru,1024-276-265-590-973,024-276-265-590-973,3.0,1116-509-832-503-46X,116-509-832-503-46X,3.0
96,construct,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
97,defin,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
98,variou,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
99,textbook,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
100,guidelin,1024-276-265-590-973,024-276-265-590-973,4.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
101,cover,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
102,area,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
103,mani,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
104,detail,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
105,conceptu,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
106,equival,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
107,issu,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
108,deal,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
109,diverg,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
110,describ,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
111,discuss,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
112,solut,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
113,display,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
114,option,1024-276-265-590-973,024-276-265-590-973,3.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
115,manag,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
116,technolog,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
117,specialist,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
118,seldom,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
119,ever,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
120,far,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
121,comment,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
122,whether,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
123,particular,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
124,truli,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
125,respect,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
126,languag,1024-276-265-590-973,024-276-265-590-973,2.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
127,speaker,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
128,premis,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
129,equal,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
130,review,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
131,offer,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
132,special,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
133,thesauri,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
134,introduc,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
135,sociocultur,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
136,even,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
137,polit,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
138,natur,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
139,promin,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
140,featur,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
141,daili,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
142,life,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
143,design,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
144,theori,1024-276-265-590-973,024-276-265-590-973,1.0,1116-509-832-503-46X,116-509-832-503-46X,0.0
145,address,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
146,computer,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
147,like,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,2.0
148,art,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,5.0
149,architectur,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
150,influenc,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,2.0
151,descript,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
152,understand,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
153,visual,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,3.0
154,view,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
155,consid,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
156,structur,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,2.0
157,content,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
158,serv,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,2.0
159,bridg,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
160,mechan,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
161,manifest,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
162,type,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
163,viewer,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
164,student,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
165,scholar,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
166,collect,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
167,enjoy,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
168,public,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
169,show,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
170,help,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
171,varieti,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
172,suggest,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
173,imag,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
174,rather,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
175,text,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
176,appli,1024-276-265-590-973,024-276-265-590-973,0.0,1116-509-832-503-46X,116-509-832-503-46X,1.0
177,import,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
178,often,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
179,neglect,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
180,objectivist,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
181,strand,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
182,paul,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
183,otlet,2056-843-928-028-56X,056-843-928-028-56X,2.0,2043-454-317-567-459,043-454-317-567-459,0.0
184,1868,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
185,1944,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
186,think,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
187,linguist,2056-843-928-028-56X,056-843-928-028-56X,4.0,2043-454-317-567-459,043-454-317-567-459,0.0
188,objectiv,2056-843-928-028-56X,056-843-928-028-56X,2.0,2043-454-317-567-459,043-454-317-567-459,1.0
189,consist,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,1.0
190,view,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
191,atom,2056-843-928-028-56X,056-843-928-028-56X,2.0,2043-454-317-567-459,043-454-317-567-459,0.0
192,uniqu,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
193,correspond,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
194,certain,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
195,discret,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
196,defin,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
197,element,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,1.0
198,world,2056-843-928-028-56X,056-843-928-028-56X,2.0,2043-454-317-567-459,043-454-317-567-459,0.0
199,combin,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
200,object,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,3.0
201,captur,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
202,order,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
203,analysi,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
204,temper,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
205,past,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
206,claim,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
207,influenc,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
208,positiv,2056-843-928-028-56X,056-843-928-028-56X,1.0,2043-454-317-567-459,043-454-317-567-459,0.0
209,articl,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
210,examin,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
211,main,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
212,aspect,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,2.0
213,traceabl,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
214,concept,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
215,document,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
216,level,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
217,realiti,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,2.0
218,hypothesi,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
219,entiti,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,2.0
220,sometim,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
221,implicitli,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
222,recogn,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,2.0
223,even,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
224,usual,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
225,underlin,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
226,exclus,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
227,moder,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
228,constructiv,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
229,synthesi,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
230,subjectiv,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
231,neither,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
232,complet,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,2.0
233,given,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
234,built,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
235,constitut,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
236,beyond,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
237,mark,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
238,pseudo,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
239,opposit,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
240,paradigm,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
241,facto,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
242,domin,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
243,epistemolog,2056-843-928-028-56X,056-843-928-028-56X,0.0,2043-454-317-567-459,043-454-317-567-459,1.0
244,increas,3036-074-742-305-080,036-074-742-305-080,1.0,3036-149-448-029-082,036-149-448-029-082,1.0
