,Lens ID,025-320-084-599-970,060-372-899-346-10X,116-509-832-503-46X,046-376-269-492-795,059-611-580-408-33X,062-055-064-561-85X,066-382-980-653-77X,097-421-372-053-520,179-132-294-510-213,061-018-838-320-648,007-409-477-173-741,045-388-908-940-286,027-396-266-532-738,043-454-317-567-459,078-881-949-441-033,063-359-887-330-154,116-085-787-369-516,036-149-448-029-082,131-292-364-160-556,118-102-398-817-762
46,090-891-932-202-646,0.0,0.0,0.0,0.033004039482278084,0.0032233687290933325,0.040186402663328194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,093-639-455-889-549,0.0,0.0,0.0,0.020209204454250118,0.031208400831618802,0.04299329138684581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,099-514-033-359-088,0.0,0.0,0.0,0.04606029138667954,0.04434328390163257,0.022020150523285358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,101-548-643-785-143,0.0,0.0,0.0,0.055447069437810706,0.04694376008768877,0.02289386628306924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,101-786-473-793-24X,0.0,0.0,0.0,0.042519187499531326,0.06661398487051184,0.02794001671053398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,110-502-601-552-555,0.0,0.0,0.0,0.023764650218780083,0.019022165411607568,0.016394639537285424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,120-465-396-538-465,0.0,0.0,0.0,0.03500518755701836,0.03349266635121269,0.040167879994562436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,125-672-379-353-323,0.0,0.0,0.0,0.0964605025265293,0.04560972264820057,0.02727183271641816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,129-335-229-947-343,0.0,0.0,0.0,0.026839512532361467,0.022441774562413475,0.02033451873251754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,145-431-224-278-742,0.0,0.0,0.0,0.036641757397163084,0.036012802151477764,0.04202995677631918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,149-853-331-952-574,0.0,0.0,0.0,0.03538000744314937,0.025198646223256366,0.003727832522883654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,154-969-566-820-758,0.0,0.0,0.0,0.021926814827444373,0.04726007931431344,0.04097164793286753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
