,Lens ID,045-388-908-940-286,131-292-364-160-556,116-085-787-369-516,179-132-294-510-213,027-396-266-532-738,060-372-899-346-10X,061-018-838-320-648,007-409-477-173-741,097-421-372-053-520,043-454-317-567-459,046-376-269-492-795,078-881-949-441-033,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,116-509-832-503-46X,063-359-887-330-154,066-382-980-653-77X,036-149-448-029-082,118-102-398-817-762
38,129-518-699-808-841,0.03367529192513593,0.03827089016921546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,131-111-699-854-730,0.01583583190807138,0.01846600171398423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,132-396-141-682-245,0.041286665921725786,0.0346606562410538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,138-044-330-708-116,0.02460935311664966,0.024997783431765987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,139-017-681-927-137,0.12992841922459875,0.07497808974764261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,139-415-373-727-671,0.02950125716353085,0.08216513906882636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,140-120-127-320-865,0.04503757115801099,0.05212927390799428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,141-208-622-576-887,0.039072146317917965,0.02202023033578505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,145-162-485-543-214,0.044860612410057246,0.02328728559017624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,145-431-224-278-742,0.034368052608274816,0.0761438598802741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
