,Lens ID,027-396-266-532-738,043-454-317-567-459,078-881-949-441-033,045-388-908-940-286,061-018-838-320-648,116-085-787-369-516,116-509-832-503-46X,131-292-364-160-556,025-320-084-599-970,046-376-269-492-795,060-372-899-346-10X,062-055-064-561-85X,063-359-887-330-154,066-382-980-653-77X,097-421-372-053-520,179-132-294-510-213,007-409-477-173-741,036-149-448-029-082,059-611-580-408-33X,118-102-398-817-762
56,056-146-827-136-55X,0.0,0.0,0.0,0.015572732318655115,0.028907729468834225,0.006809710037875415,0.015477491596268385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,056-709-260-660-68X,0.0,0.0,0.0,0.0,0.0618288025570291,0.0493186263928238,0.047219616819818976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,062-724-086-574-032,0.0,0.0,0.0,0.043822422553426964,0.04343698693127735,0.05032577483615846,0.09538418242700603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,067-245-023-581-167,0.0,0.0,0.0,0.03948172386377126,0.07755709193623353,0.032434797380605174,0.05515606688372246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,068-347-597-479-448,0.0,0.0,0.0,0.029364287663137124,0.032101595319805776,0.050652772424760455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,073-054-463-858-866,0.0,0.0,0.0,0.05661200756666185,0.0446684278879017,0.014580323475105524,0.021495352875898877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,074-500-461-363-345,0.0,0.0,0.0,0.0702077498120317,0.032661400533102694,0.06851850433733327,0.04855214155128128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,080-833-091-660-82X,0.0,0.0,0.0,0.02671685135876331,0.05087755051324519,0.0351720625024038,0.025429813996275176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,084-598-061-461-73X,0.0,0.0,0.0,0.030454315592021775,0.04349118228542066,0.011396880604326184,0.020811976561201397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,090-891-932-202-646,0.0,0.0,0.0,0.03950499533701586,0.0288236713671712,0.03681406140533422,0.02165022753494942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,098-551-863-329-618,0.0,0.0,0.0,0.03663950060221047,0.06595089375327434,0.05195995445354485,0.060475984264272344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,105-344-783-651-500,0.0,0.0,0.0,0.010972675981668583,0.05256738460288489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,109-760-057-069-354,0.0,0.0,0.0,0.03329204441875595,0.0711709939410743,0.028899523712822048,0.03965828512965616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
