,Lens ID,063-359-887-330-154,027-396-266-532-738,043-454-317-567-459,060-372-899-346-10X,061-018-838-320-648,066-382-980-653-77X,078-881-949-441-033,097-421-372-053-520,036-149-448-029-082,045-388-908-940-286,046-376-269-492-795,116-509-832-503-46X,007-409-477-173-741,116-085-787-369-516,118-102-398-817-762,025-320-084-599-970,059-611-580-408-33X,062-055-064-561-85X,131-292-364-160-556,179-132-294-510-213
64,062-724-086-574-032,0.0,0.02747854168709098,0.032097634636444494,0.06512510981543573,0.03630532906275753,0.029962909201168383,0.03914718404544787,0.026043289589508183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,065-776-954-434-253,0.0,0.02930247093169447,0.005128024384386057,0.01265280229207399,0.021833006081474052,0.006019297425177415,0.07527955190551074,0.007510039975726741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,066-162-924-625-788,0.0,0.039861813564708456,0.021088554637865256,0.054586456269577324,0.0372308405788626,0.05434007913165473,0.01218885967211858,0.03732225835191455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,068-842-015-943-027,0.0,0.07954133874831586,0.012211615506021916,0.036463774991471694,0.08250246539608251,0.10406679728241863,0.03431681558888487,0.0093731356854437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,071-572-690-596-47X,0.0,0.03220972858439394,0.026434782667110926,0.03141617202060955,0.034292846295505774,0.06433326068840876,0.05723299306441491,0.020757250274427767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,074-632-781-234-90X,0.0,0.02956974192144211,0.024174497343393265,0.022702875583445505,0.05751364980820455,0.055824659414895325,0.03582038873005303,0.007110138159965617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,078-470-148-980-604,0.0,0.032382032681418926,0.0,0.10815918423995058,0.031935965845109326,0.038231284156125325,0.0058588440257631045,0.10468654917359181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,081-472-552-790-009,0.0,0.01464998365528961,0.007378995710054676,0.050615641741066704,0.036953142828186326,0.04352169265641538,0.007389120377900866,0.042198794619016204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,093-639-455-889-549,0.0,0.04646450828610024,0.00901372098569915,0.03977522136845083,0.0720018143534239,0.07343052744739348,0.0283854879089238,0.013148533498351333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,094-882-702-642-495,0.0,0.07517166159618349,0.033885110394583834,0.029562423296393792,0.050951205414963625,0.11637318607262578,0.015004045556073764,0.047471632353302096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,098-267-139-915-909,0.0,0.04711862812800894,0.05706680196212635,0.004360511932853113,0.04319327056239101,0.05035215456672479,0.0,0.05512498111549278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,099-514-033-359-088,0.0,0.07794078826270734,0.007152610260604144,0.06598547089577354,0.059248001483584174,0.01260854455394543,0.011486447323981623,0.05836100170716703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,100-935-111-075-54X,0.0,0.07862063860840303,0.005085434014567387,0.04996147391836898,0.09985961151870061,0.031166770555372036,0.049942040709824664,0.021461238796129593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,101-548-643-785-143,0.0,0.034790448611114584,0.01488794957866531,0.01494287151445747,0.052773068203798595,0.04061497122552793,0.03493876884353032,0.01720824509024865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,101-786-473-793-24X,0.0,0.023553387606117575,0.030873597043262056,0.03273809167847504,0.039085291328594396,0.014827953507343887,0.10768405669140897,0.012119978457693506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
