,Lens ID,043-454-317-567-459,060-372-899-346-10X,027-396-266-532-738,061-018-838-320-648,036-149-448-029-082,046-376-269-492-795,066-382-980-653-77X,078-881-949-441-033,097-421-372-053-520,116-509-832-503-46X,179-132-294-510-213,059-611-580-408-33X,063-359-887-330-154,131-292-364-160-556,007-409-477-173-741,045-388-908-940-286,062-055-064-561-85X,116-085-787-369-516,025-320-084-599-970,118-102-398-817-762
12,057-230-358-061-61X,0.028612560911472854,0.07609989525597648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,062-376-529-028-631,0.03326461501233419,0.008906832858163726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,062-724-086-574-032,0.03378332645670712,0.06560341947802774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,065-776-954-434-253,0.006515646537203825,0.010175206918892602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,071-825-816-424-896,0.0,0.005781737205045274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,080-752-452-284-07X,0.0412747421591262,0.018178841806334205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,084-598-061-461-73X,0.01917336662123068,0.016944792664666197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,093-549-532-693-584,0.0167736609680909,0.1086916224783051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,094-974-208-048-309,0.022285654258785904,0.029729233364831194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,101-931-016-895-249,0.00378457579461105,0.06326367459677906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,103-743-287-428-874,0.0012946200955890918,0.013083910211162472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,119-828-100-009-826,0.019791878954083957,0.025799029780282715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,132-693-568-339-041,0.004239062306706166,0.03709848394668093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,138-044-330-708-116,0.020178562577696037,0.024588853302087654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,145-162-485-543-214,0.0032972720443521226,0.055117814252254205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,145-930-999-684-144,0.0,0.04427341007996664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,148-753-200-673-175,0.032605720454531376,0.10005046784955532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,154-969-566-820-758,0.003696858542017125,0.016743808036882163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,160-606-850-771-257,0.007551913625012129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,171-003-626-863-17X,0.0329360534864197,0.044728922418618214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
