,Lens ID,045-388-908-940-286,116-085-787-369-516,063-359-887-330-154,059-611-580-408-33X,062-055-064-561-85X,131-292-364-160-556,036-149-448-029-082,118-102-398-817-762,007-409-477-173-741,025-320-084-599-970,043-454-317-567-459,060-372-899-346-10X,061-018-838-320-648,066-382-980-653-77X,078-881-949-441-033,179-132-294-510-213,027-396-266-532-738,046-376-269-492-795,097-421-372-053-520,116-509-832-503-46X
11,002-768-931-855-543,0.009760703308074554,0.021065949393368887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,013-595-252-334-822,0.03326601097019255,0.010701562380119486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,014-498-810-516-367,0.028850922676815223,0.007939568643491105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,017-489-591-364-184,0.0,0.035042137710872445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,017-784-773-403-422,0.0,0.05307419422869151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,026-156-970-219-041,0.026402735391777767,0.029779601470975074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,032-388-474-318-614,0.03785820344926401,0.022047600339538814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,033-100-558-536-10X,0.07486483221223245,0.014061696932130465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,039-572-877-788-682,0.011542423443712929,0.0371754104039776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,044-198-652-180-16X,0.028687819489581823,0.03560559483374606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
