,Lens ID,036-149-448-029-082,043-454-317-567-459,131-292-364-160-556,060-372-899-346-10X,063-359-887-330-154,066-382-980-653-77X,116-085-787-369-516,027-396-266-532-738,046-376-269-492-795,097-421-372-053-520,116-509-832-503-46X,179-132-294-510-213,007-409-477-173-741,045-388-908-940-286,059-611-580-408-33X,061-018-838-320-648,025-320-084-599-970,062-055-064-561-85X,078-881-949-441-033,118-102-398-817-762
15,071-000-824-702-757,0.023014477080478622,0.0031280710111194435,0.016895723541646306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,076-882-748-116-316,0.0011133789788585796,0.023636975672741898,0.04161705531481549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,080-752-452-284-07X,0.0,0.04366690967915619,0.04587255187888804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,082-495-474-227-605,0.010456817648088243,0.002029545296345876,0.03249031479210031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,084-598-061-461-73X,0.04320588525599367,0.028328045333349854,0.09615147154287557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,085-964-441-290-42X,0.009463546802697587,0.004692901751600207,0.02072071082404192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,087-931-774-679-603,0.037635450247320325,0.0,0.04375508212983208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,088-963-079-143-906,0.016838674868127873,0.05464472003857418,0.03011278325559428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,098-267-139-915-909,0.056763027431907025,0.034672732341833865,0.01890538046181376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,099-651-790-941-367,0.04602463049537925,0.017945797754098405,0.04650492022134812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
