,Lens ID,043-454-317-567-459,046-376-269-492-795,060-372-899-346-10X,066-382-980-653-77X,078-881-949-441-033,027-396-266-532-738,036-149-448-029-082,061-018-838-320-648,063-359-887-330-154,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,097-421-372-053-520,116-085-787-369-516,131-292-364-160-556,179-132-294-510-213,007-409-477-173-741,045-388-908-940-286,116-509-832-503-46X,118-102-398-817-762
40,057-230-358-061-61X,0.0248426857078098,0.04834619794184751,0.03352828693979745,0.04859335980645281,0.04068004901360388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,068-347-597-479-448,0.0,0.017099964603656502,0.0,0.017831983951654723,0.005134703146831089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,068-842-015-943-027,0.019239044791285787,0.04371888996728866,0.03873542572812408,0.11287673411043955,0.035595496932479036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,071-572-690-596-47X,0.036271106723930725,0.0592432832308004,0.041790333314114,0.059749764181147844,0.07215603974886242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,078-887-084-126-065,0.0,0.012418299573399896,0.0,0.03288632077451922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,086-157-478-708-338,0.005796174539700353,0.037482517862871524,0.0057987910997876575,0.022258988849307926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,094-974-208-048-309,0.025820481044646817,0.048246100057275976,0.034917952878471256,0.03917966875941301,0.004350532004303604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,098-267-139-915-909,0.05611193688156289,0.04469616043504773,0.0031414608830230015,0.05485559418695054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,099-514-033-359-088,0.005446033658486985,0.0444621823210328,0.08222745529649095,0.011493637485337558,0.005359620145595538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,101-548-643-785-143,0.020260346091493856,0.05877328589687157,0.008638677419994934,0.04252553073275579,0.027927857575652807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,101-786-473-793-24X,0.034772902957550506,0.03329133317685282,0.037428102955138175,0.009276671517636944,0.08828788771454514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
