,Lens ID,059-611-580-408-33X,116-509-832-503-46X,046-376-269-492-795,063-359-887-330-154,025-320-084-599-970,066-382-980-653-77X,131-292-364-160-556,179-132-294-510-213,043-454-317-567-459,060-372-899-346-10X,078-881-949-441-033,007-409-477-173-741,062-055-064-561-85X,036-149-448-029-082,027-396-266-532-738,045-388-908-940-286,061-018-838-320-648,118-102-398-817-762,097-421-372-053-520,116-085-787-369-516
44,077-954-762-700-03X,0.0,0.0,0.045003869820457884,0.01852236964454205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,086-157-478-708-338,0.0,0.0,0.02821524125416504,0.010927231425441398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,094-974-208-048-309,0.0,0.0,0.03947613371939648,0.004733956134642927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,098-267-139-915-909,0.0,0.0,0.02469815475156297,0.003376219713846805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,099-514-033-359-088,0.0,0.0,0.0412872993813236,0.001847857591253045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,100-935-111-075-54X,0.0,0.0,0.09960259106287758,0.00885594787721937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,101-548-643-785-143,0.0,0.0,0.056995763125994796,0.024401708137967132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,101-786-473-793-24X,0.0,0.0,0.03525216717967743,0.004177958030951945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,103-364-820-610-122,0.0,0.0,0.06269844047953947,0.0016783691376280464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,104-511-034-288-619,0.0,0.0,0.020308694727044434,0.003579843043575487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,117-281-186-702-242,0.0,0.0,0.04629579389837606,0.004709169602110277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,120-820-618-313-83X,0.0,0.0,0.03239745973045571,0.009989008555729696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,124-748-119-715-692,0.0,0.0,0.05514569948257833,0.003678265668854599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,129-190-637-644-62X,0.0,0.0,0.0007702185191230416,0.040226090080821064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,135-514-499-218-272,0.0,0.0,0.08726340647890563,0.013876560386821645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,139-415-373-727-671,0.0,0.0,0.05474349201482788,0.030932835927672216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,146-586-701-703-282,0.0,0.0,0.07803679071838848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,158-139-147-446-223,0.0,0.0,0.02351223502367357,0.011411894142149171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,191-348-260-799-474,0.0,0.0,0.04709928582462055,0.017390306177725252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
