Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
044-366-175-494-448,"Tracking the Evolution of Clustering, Machine Learning, Automatic Indexing and Automatic Classification in Knowledge Organization",,2017,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Richard P. Smiraglia; Xin Cai,,44,3,215,233,Machine learning; Artificial intelligence; Automatic indexing; Knowledge organization; Computer science; Cluster analysis,,,,,https://www.nomos-elibrary.de/index.php?doi=10.5771/0943-7444-2017-3-215,http://dx.doi.org/10.5771/0943-7444-2017-3-215,,10.5771/0943-7444-2017-3-215,2779563178,,0,,1
044-948-665-666-628,,,2016,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,43,8,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-2016-8,,10.5771/0943-7444-2016-8,,,0,,0
044-979-786-386-819,Books Recently Published,,2016,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,43,7,569,571,,,,,,,http://dx.doi.org/10.5771/0943-7444-2016-7-569,,10.5771/0943-7444-2016-7-569,,,0,,0
045-139-449-368-358,The Domain of Knowledge Organization: A Bibliometric Analysis of Prolific Authors and Their Intellectual Space,,2018,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Renata Cristina Gutierres Castanha; Dietmar Wolfram,"Univ Estadual Paulista UNESP Marilia, 737 Hygino Muzzi Filho Ave, BR-17525900 Marilia, Brazil",45,1,13,22,Sociology; Library science; Scientific communication; Citation; Knowledge organization; Bibliometric analysis,,,,,https://repositorio.unesp.br/handle/11449/170965 http://dx.doi.org/10.5771/0943-7444-2018-1-13,http://dx.doi.org/10.5771/0943-7444-2018-1-13,,10.5771/0943-7444-2018-1-13,2792325658,,0,,2
045-299-819-647-147,Critical Organization of Knowledge in Mass Media Information Systems,,2014,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Antonio García Gutiérrez; Daniel Martínez-Ávila,,41,3,205,216,Information system; Data science; Computer science; Mass media,,,,,http://dx.doi.org/10.5771/0943-7444-2014-3-205,http://dx.doi.org/10.5771/0943-7444-2014-3-205,,10.5771/0943-7444-2014-3-205,2811436903,,0,,2
045-475-820-648-809,Obituary: Dr. Ingetraut Dahlberg,,2017,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Peter Ohly,,44,8,581,585,Philosophy; Theology; Obituary,,,,,https://www.nomos-elibrary.de/index.php?doi=10.5771/0943-7444-2017-8-581,http://dx.doi.org/10.5771/0943-7444-2017-8-581,,10.5771/0943-7444-2017-8-581,2782581924,,0,,0
045-693-760-447-209,Empirical Methods for Knowledge Evolution across Knowledge Organization Systems,,2016,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Richard P. Smiraglia,,43,5,351,357,Empirical research; Knowledge organization; Knowledge evolution; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-2016-5-351,http://dx.doi.org/10.5771/0943-7444-2016-5-351,,10.5771/0943-7444-2016-5-351,2801797134,,0,,3
045-938-071-209-961,Titelei/Inhaltsverzeichnis,,2018,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,45,6,441,442,,,,,,,http://dx.doi.org/10.5771/0943-7444-2018-6-441,,10.5771/0943-7444-2018-6-441,,,0,,0
046-332-152-226-720,RelP: Portuguese Open Relation Extraction,,2017,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Sandra Collovini de Abreu; Renata Vieira,,44,3,163,177,Relationship extraction; Artificial intelligence; Natural language processing; Portuguese; Computer science,,,,,https://www.nomos-elibrary.de/index.php?doi=10.5771/0943-7444-2017-3-163,http://dx.doi.org/10.5771/0943-7444-2017-3-163,,10.5771/0943-7444-2017-3-163,2778813990,,0,,7
046-402-144-705-650,Automated Subject Classification of Textual Documents in the Context of Web-Based Hierarchical Browsing,2014-01-01,2014,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Koraljka Golub,"While automated methods for information organization have been around for several decades now, exponential growth of the World Wide Web has put them into the forefront of research in different communities, within which several approaches can be identified: 1) machine learning (algorithms that allow computers to improve their performance based on learning from pre-existing data); 2) document clustering (algorithms for unsupervised document organization and automated topic extraction); and 3) string matching (algorithms that match given strings within larger text). Here the aim was to automatically organize textual documents into hierarchical structures for subject browsing. The string-matching approach was tested using a controlled vocabulary (containing pre-selected and pre-defined authorized terms, each corresponding to only one concept). The results imply that an appropriate controlled vocabulary, with a sufficient number of entry terms designating classes, could in itself be a solution for automated classification. Then, if the same controlled vocabulary had an appropriate hierarchical structure, it would at the same time provide a good browsing structure for the collection of automatically classified documents.",38,3,230,244,Controlled vocabulary; Dewey Decimal Classification; Web application; Classification scheme; Document clustering; Information retrieval; Computer science; Information engineering; String searching algorithm,,,,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:747709 https://researchportal.bath.ac.uk/en/publications/automated-subject-classification-of-textual-documents-in-the-cont http://portal.research.lu.se/portal/files/5698449/599084.pdf https://lup.lub.lu.se/search/publication/0cab375a-0784-491e-a7d9-a803c0ca5984 http://opus.bath.ac.uk/25686/ https://portal.research.lu.se/portal/en/publications/automated-subject-classification-of-textual-documents-in-the-context-of-webbased-hierarchical-browsing(0cab375a-0784-491e-a7d9-a803c0ca5984).html,http://dx.doi.org/10.5771/0943-7444-2011-3-230,,10.5771/0943-7444-2011-3-230,1753429771,,0,000-074-252-091-482; 001-159-184-276-045; 001-192-799-159-122; 001-296-201-089-77X; 004-369-173-412-712; 004-477-826-263-960; 004-555-964-507-880; 005-288-279-802-34X; 006-900-116-069-029; 008-105-190-934-121; 012-751-016-406-463; 013-359-360-239-14X; 014-108-632-759-633; 015-754-016-798-981; 015-934-554-043-576; 016-145-039-750-414; 016-236-482-703-501; 016-780-208-466-573; 017-257-262-599-895; 018-152-670-581-729; 020-178-995-924-491; 021-408-893-277-454; 023-250-500-377-469; 023-801-576-705-965; 026-330-240-989-555; 026-980-454-404-887; 027-588-115-308-719; 030-970-704-488-346; 032-512-830-457-078; 034-089-808-475-605; 034-466-857-113-302; 034-899-726-550-151; 034-900-086-674-281; 037-671-868-427-720; 038-300-270-453-741; 039-612-720-310-828; 040-806-475-476-162; 040-955-930-030-71X; 042-282-651-296-661; 043-984-964-696-095; 045-319-398-508-266; 045-560-846-926-56X; 046-002-827-776-471; 046-354-248-068-955; 047-282-042-267-47X; 049-546-342-742-956; 049-909-106-148-04X; 050-464-567-536-076; 050-649-404-159-190; 055-633-448-536-942; 061-815-654-893-611; 062-378-931-982-465; 062-580-681-886-313; 063-976-673-171-817; 064-583-783-266-496; 066-301-903-573-648; 066-584-701-182-932; 068-672-765-964-848; 069-087-040-003-168; 069-122-360-025-017; 070-688-882-089-462; 074-362-647-607-886; 076-428-225-678-512; 076-447-958-378-14X; 076-475-741-708-556; 077-465-700-336-677; 078-004-047-952-032; 083-251-265-050-378; 083-423-618-174-834; 084-012-431-040-940; 085-994-661-733-306; 089-114-292-391-677; 091-916-331-832-102; 092-161-041-598-358; 092-316-944-342-736; 092-724-825-157-32X; 092-991-475-336-059; 093-342-291-216-462; 094-160-922-108-652; 095-598-223-509-61X; 095-645-991-917-594; 097-452-422-474-238; 097-485-318-728-585; 098-508-973-960-693; 103-123-016-278-862; 106-406-858-675-097; 107-444-060-432-743; 107-585-951-531-410; 107-798-551-789-219; 113-201-543-302-338; 121-182-804-437-943; 121-601-940-139-223; 121-710-668-921-138; 122-264-668-606-057; 123-137-942-742-700; 125-668-699-142-523; 128-237-862-832-618; 129-509-100-451-926; 133-985-660-993-485; 134-926-228-831-854; 135-027-721-893-992; 136-124-517-408-073; 136-535-094-371-761; 136-929-137-424-66X; 140-522-856-217-202; 145-711-891-311-32X; 147-386-645-055-62X; 152-621-434-027-029; 152-706-290-649-939; 153-913-836-295-932; 156-366-793-399-051; 158-636-445-534-536; 159-118-916-877-954; 161-147-214-887-386; 162-963-043-628-620; 164-252-396-341-90X; 164-846-906-661-830; 165-194-569-235-966; 165-366-217-513-764; 165-806-066-620-250; 169-148-356-446-151; 170-687-556-032-998; 172-599-558-468-798; 173-084-948-950-591; 173-836-640-523-787; 177-175-750-040-989; 178-263-102-283-559; 180-606-066-289-104; 180-908-800-746-247; 182-872-147-730-736; 188-727-302-667-456; 191-288-677-959-785; 195-411-876-432-915; 197-734-074-158-642,4
