Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
012-698-916-502-565,B.H. Weinberg (Comp.): Education and Training in Indexing and Abstracting (I. Dahlberg),,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,105,105,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-105-1,,10.5771/0943-7444-1986-2-105-1,,,0,,0
013-839-235-167-629,FID/CR News 21,,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,3,159,163,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-3-159,,10.5771/0943-7444-1987-3-159,,,0,,0
014-978-206-508-734,"W. Gaul, M. Schader (Eds): Classification as a Tool of Research Proc. 9th Ann. Meeting, Classif. Soc. (F.R.G.) (R. Sokal)",,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,1,42,42,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-1-42,,10.5771/0943-7444-1987-1-42,,,0,,0
017-010-950-229-172,Classification and Indexing Research,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,28,32,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-28,,10.5771/0943-7444-1988-1-28,,,0,,0
017-192-332-924-020,"Obituary: Jason Edward Louis Farradanc, 1906–1989",,1989,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,2,116,116,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-2-116,,10.5771/0943-7444-1989-2-116,,,0,,0
017-367-092-488-363,Structure of the Thesaurus for Parliamentary Materials. Formal structure and data processing conception (In German). (D. Soergel),,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,105,105,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-105,,10.5771/0943-7444-1986-2-105,,,0,,0
017-688-394-935-314,UDC: International Medium Edition – English text,,1986,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Amitabha Chatterjee; Gobinda Gopal Choudhury,,13,3,137,141,Library science; Political science,,,,,http://dx.doi.org/10.5771/0943-7444-1986-3-137,http://dx.doi.org/10.5771/0943-7444-1986-3-137,,10.5771/0943-7444-1986-3-137,2889579814,,0,,0
017-716-580-926-185,"Jambu, M., Lebeaux, M.-O.: Cluster analysis and data analysis (P. Ihm)",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,2,99,99,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-2-99,,10.5771/0943-7444-1988-2-99,,,0,,0
019-221-510-632-075,Classification Literature,,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,3,173,187,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-3-173,,10.5771/0943-7444-1987-3-173,,,0,,0
021-137-490-004-329,Infoterm News,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,2,92,96,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-2-92,,10.5771/0943-7444-1988-2-92,,,0,,0
