Lens ID,097-421-372-053-520,116-509-832-503-46X,043-454-317-567-459,036-149-448-029-082,062-055-064-561-85X,061-018-838-320-648,179-132-294-510-213,078-881-949-441-033,116-085-787-369-516,046-376-269-492-795,066-382-980-653-77X,027-396-266-532-738,025-320-084-599-970,118-102-398-817-762,131-292-364-160-556,060-372-899-346-10X,059-611-580-408-33X,007-409-477-173-741,045-388-908-940-286,063-359-887-330-154,Lens ID
031-740-156-435-499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258233640884677,0.0268995950751112,0.0234685738665637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,031-740-156-435-499
033-100-558-536-10X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192623643187729,0.0160331077584645,0.058414175452076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,033-100-558-536-10X
039-890-704-429-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411622080304687,0.0189747507643777,0.0336066257849548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,039-890-704-429-132
054-076-780-075-898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269165817444135,0.0281071671834624,0.0421288597179768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,054-076-780-075-898
056-414-859-740-557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202858923063171,0.0070377629695595,0.0466852810727055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,056-414-859-740-557
057-230-358-061-61X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425774768684843,0.0416520693939331,0.0547045092492421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,057-230-358-061-61X
071-572-690-596-47X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732655455279847,0.0494144342574324,0.047613455883968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,071-572-690-596-47X
086-157-478-708-338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395723409214763,0.0164284944915727,0.0647744771501549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,086-157-478-708-338
087-931-774-679-603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313853059935475,0.0335157001489579,0.0210767946268218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,087-931-774-679-603
088-963-079-143-906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210172382747739,0.0118711029458728,0.0303114833831379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,088-963-079-143-906
094-974-208-048-309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298127300757164,0.0348163385300695,0.013337646308577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,094-974-208-048-309
095-597-624-140-45X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188082997077473,0.0306430180402351,0.0602423342663444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,095-597-624-140-45X
100-935-111-075-54X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1114992320485488,0.0390352036680861,0.0622817356260194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100-935-111-075-54X
101-548-643-785-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643653619055159,0.0593738781133654,0.0249502137153766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101-548-643-785-143
101-786-473-793-24X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392419219227938,0.0129244788495063,0.0259744918479794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101-786-473-793-24X
104-511-034-288-619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219120478981827,0.0451099982583757,0.0104150105236805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104-511-034-288-619
110-917-132-699-697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04584914883586,0.0208352336921652,0.0138336396074437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110-917-132-699-697
116-584-634-731-701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376616071025923,0.0195050275116334,0.1067544627237065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116-584-634-731-701
117-281-186-702-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559949504208387,0.0433249601722195,0.0479108627892546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117-281-186-702-242
122-703-378-850-053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0751213394439666,0.0522584958408195,0.024525300605362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122-703-378-850-053
125-672-379-353-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924397552631523,0.0398768076218816,0.0603627029849554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125-672-379-353-323
129-518-699-808-841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0494100795431299,0.0881822731551824,0.0601244671537421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129-518-699-808-841
138-044-330-708-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036717872368651,0.0412317432353623,0.0348405377614236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138-044-330-708-116
148-753-200-673-175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112541063301744,0.0130067599508109,0.0198777958339758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148-753-200-673-175
164-643-190-599-559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415462945787253,0.0304926519186596,0.0487245836154446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164-643-190-599-559
173-877-453-721-519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466807658597985,0.0283275725213363,0.0659751259516794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173-877-453-721-519
188-130-097-599-287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274502872401532,0.0175868120727876,0.0478512619097441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188-130-097-599-287
191-349-254-093-883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419564646204687,0.0667216000145768,0.0701326111273042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191-349-254-093-883
194-391-518-246-985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073616962521443,0.0299998515554668,0.0791062456818675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194-391-518-246-985
005-477-590-821-001,0.0052568477395371,0.0,0.0,0.0,0.097169166191975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513638100613027,0.0,0.0527017477425303,0.0,0.0,0.0633629613983704,0.0647117448649536,0.0,005-477-590-821-001
006-920-773-223-354,0.0135848378496671,0.0,0.0,0.0,0.0600427201292965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599117685519287,0.0,0.0070410401609231,0.0,0.0,0.0679667978472043,0.0472093601452523,0.0,006-920-773-223-354
008-962-886-761-456,0.051801553548495,0.0,0.0,0.0,0.0484811573015156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541639163227257,0.0,0.0865730004975179,0.0,0.0,0.057283096725906,0.0161558422249872,0.0,008-962-886-761-456
014-498-810-516-367,0.0198400740648594,0.0,0.0,0.0,0.0038437196209612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022270028968399,0.0,0.0125642516219495,0.0,0.0,0.059260529549853,0.0285835052473336,0.0,014-498-810-516-367
017-489-591-364-184,0.0431181035349426,0.0,0.0,0.0,0.0213821531118774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123885510954406,0.0,0.002141334163252,0.0,0.0,0.019720633704797,0.0,0.0,017-489-591-364-184
018-426-685-841-728,0.0487932509811058,0.0,0.0,0.0,0.0885692060212637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288398045737669,0.0,0.0670094147708544,0.0,0.0,0.0199247435800288,0.0232357221082004,0.0,018-426-685-841-728
026-048-467-239-979,0.0151228062973456,0.0,0.0,0.0,0.0575109933391096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249429005663319,0.0,0.0393798756936904,0.0,0.0,0.0165536489261706,0.0304770521821467,0.0,026-048-467-239-979
032-050-236-233-836,0.0505851853617789,0.0,0.0,0.0,0.0404786071911685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135020619530617,0.0,0.0465845351573172,0.0,0.0,0.0178515751267534,0.0676274861805045,0.0,032-050-236-233-836
034-244-957-935-06X,0.026647411092267,0.0,0.0,0.0,0.0209206731999696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246334662508783,0.0,0.0258777715623715,0.0,0.0,0.0099506001085793,0.0320791344138384,0.0,034-244-957-935-06X
036-074-742-305-080,0.028704967965317,0.0,0.0,0.0,0.0749942076109411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0727029936409793,0.0,0.0568783778628369,0.0,0.0,0.0432858261610208,0.0294551195498459,0.0,036-074-742-305-080
048-127-750-639-998,0.0401611582370727,0.0,0.0,0.0,0.0568113104299273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560803975691567,0.0,0.0617896116667429,0.0,0.0,0.0462218327488595,0.0689562638780797,0.0,048-127-750-639-998
048-970-965-076-466,0.0448058636396043,0.0,0.0,0.0,0.0864367656608747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302199827258836,0.0,0.0648189432208194,0.0,0.0,0.0313710616217263,0.0635595802328314,0.0,048-970-965-076-466
052-670-916-661-239,0.0208982449555815,0.0,0.0,0.0,0.0460248386722027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678714549300745,0.0,0.0243769704543549,0.0,0.0,0.04068904041339,0.0160619211364409,0.0,052-670-916-661-239
057-453-531-906-267,0.0040119888996445,0.0,0.0,0.0,0.0627259405931389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181257704833423,0.0,0.0199784247522356,0.0,0.0,0.0,0.0261749330828593,0.0,057-453-531-906-267
062-086-201-884-316,0.0361492396636957,0.0,0.0,0.0,0.0298515964738668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286756071560937,0.0,0.0293124937493898,0.0,0.0,0.0363145030029365,0.0465921839004934,0.0,062-086-201-884-316
064-607-448-852-803,0.0478231547493317,0.0,0.0,0.0,0.0505864275829437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0578151131403075,0.0,0.0128521770113295,0.0,0.0,0.0314354859017686,0.1371062463132671,0.0,064-607-448-852-803
064-751-648-054-001,0.0859941862238625,0.0,0.0,0.0,0.1498211561011921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407524666162138,0.0,0.0681622046568708,0.0,0.0,0.0111724764005468,0.0,0.0,064-751-648-054-001
065-723-239-027-836,0.0493391174678419,0.0,0.0,0.0,0.0597824499519914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167686792830483,0.0,0.0517961430243259,0.0,0.0,0.0378595135772554,0.0572044644716337,0.0,065-723-239-027-836
068-575-306-450-958,0.0477676352851304,0.0,0.0,0.0,0.0337106426967245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379216077727429,0.0,0.0382602395994791,0.0,0.0,0.0325072676910626,0.0116558601483861,0.0,068-575-306-450-958
068-842-015-943-027,0.0153005211061052,0.0,0.0,0.0,0.0254964842450868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553299142305954,0.0,0.0569919938395092,0.0,0.0,0.0567850114747057,0.0365402707864969,0.0,068-842-015-943-027
070-541-958-070-965,0.0206641017954303,0.0,0.0,0.0,0.0580470121862375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124257994577051,0.0,0.0542702009829924,0.0,0.0,0.0420350468388166,0.0242506849027965,0.0,070-541-958-070-965
071-825-816-424-896,0.0088540811257683,0.0,0.0,0.0,0.0269617563605985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414661374981725,0.0,0.0398263257166251,0.0,0.0,0.0270942025258061,0.0107711456166129,0.0,071-825-816-424-896
074-500-461-363-345,0.0940807553753308,0.0,0.0,0.0,0.1111557937676239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338238590199906,0.0,0.0489972356917824,0.0,0.0,0.0420087301289622,0.0562306158245858,0.0,074-500-461-363-345
076-882-748-116-316,0.0254931720790954,0.0,0.0,0.0,0.0822630832823187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262608511538973,0.0,0.0317415738952897,0.0,0.0,0.0474205370339922,0.0614185291594898,0.0,076-882-748-116-316
082-495-474-227-605,0.0058956212140915,0.0,0.0,0.0,0.0127828412665754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344082081991345,0.0,0.0285971233995555,0.0,0.0,0.0226317621609025,0.0365690457362167,0.0,082-495-474-227-605
089-926-127-972-615,0.0142613552456434,0.0,0.0,0.0,0.0300503505603864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586107688488533,0.0,0.0528463045154348,0.0,0.0,0.0823637437433862,0.0414010416758394,0.0,089-926-127-972-615
